Carmelo Nossa Senhora do Carmo;Av. Loureiro da Silva, 1735;Cidade Baixa;90050-240;Porto Alegre;mosteirodocarmopoa@gmail.com;(51)3224-0412 (51)2112-8179;https://irmascarmelitas.com.br/index.php;RS;;-30,036;-51,234
Mosteiro São Damião - Irmãs Clarissas;R. Vicente da Fontoura, 498;Santana;90640-000;Porto Alegre;clarissaspoa@gmail.com;(51)3223-4464;https://www.clarissas.net.br/index.php;RS;;-30,048;-51,23
Convento São Boaventura;Av. Ipiranga, 601;Daltro Filho;95885-000;Imigrante;conventofranciscano@hotmail.com;(51)3754-0376;;RS;;-29,355;-51,775
Mosteiro São José;R. Andradas, 358;Centro;96200-970;Rio Grande;mostsjose@vetorial.net/mosteiroriogrande@gmail.com;(53)3035-2047/(53)98143-8477;https://www.mosteirosaojose.com.br/index.php;RS;;-32,035;-52,099
Mosteiro Cisterciense Nossa Senhora de Nazaré;Estrada da Venda Velha, s/n;Distrito de Passo do Adão;96640-000;Rio Pardo;mosteiro@nazare.org.br;(51)9595 (51)3853;http://nazare.org.br/;RS;;-29,99;-52,378
Mosteiro da Tranfiguração;Rua Júlio Gaviraghi, 1430;Cruzeiro;98790-146;Santa Rosa;mosteiro@transfiguracao.com.br;(55)3512-6193 (55)3512-6024;https://www.transfiguracao.com.br/;RS;;-27,853;-54,44
Mosteiro Nossa Senhora do Brasil;Rua Bento Gonçalves,747;Centro;95270-000;Flores da Cunha;;(54)3292-1414;;RS;;-29,029;-51,182
Mosteiro Santíssima Trindade;Linha Travessa, 2850;Rio Pardinho;96810-971;Santa Cruz do Sul;contato@mosteirotrindade.com.br;(51)99914-1456;http://mosteirotrindade.com.br/index.html;RS;;-29,718;-52,43
Cartuxa Nossa Senhora Medianeira;Rod. RS 348, s/n.;Zona Rural;98160-000;Ivorá;cartuxamm@terra.com.br;(51)99654;http://www.chartreux.org/pt/casas/medianeira/index.php;RS;;-29,524;-53,585
Carmelo do Menino Jesus;César Stalivieri, 527;São Leopoldo;95080-380;Caxias do Sul;teresadejesus@terra.com.br;(54)3228-3635;https://www.facebook.com/Carmelo-do-Menino-Jesus-1425954200950800/;RS;;-29,188;-51,202
